,0
15,스프레이 군사통에 담아 샤워 후 온몸에 뿌려줍니다 혼자라 등에는 뭘 바르기가 들어서 항상 미스트를 쓰는데 이건 대용량이라 미친 듯이 뿌려도 아깝지가 않네요 나머지 팔다리는 로션으로 한 번 더 암튼 순한 것 같고 트러블이 없어요
16,마침 로션은 한 통이 남아 있는데 스킨이 다 떨어져서 주문했어요 용량도 엄청난 데다 사은품도 푸짐하네요 오자마자 개봉해서 사용해 봤는데 은은하니 피부에 자극 없고 너무 좋아요 용량이 커서 얼굴 목 팔 수분 공급해주니 좋고 아무리 써도 이 정도 양이면 오래 쓸 수 있을 거 같아요 샤워하고 나와서 온몸에 발라줘도 좋고요 사용감이 청량한 느낌이 들고 향도 은은한 풀잎 향이라서 좋아요 유효기간도 넉넉해서 좋고요 잘 사용할게요
17,이틀 만에 받았고 용량은 많네요 사용 한번 해봤는데 끈적임 은 없고 막상 바르니 향도 피부에 남지 않는 거 같고 농도는 물이라고 보면 되겠어요 유통기한은 연도까지로 엄청 기네요 일단 쭉 사용해보고 좋으면 재구매 각 보디에 그냥 발라도 될 듯
18,금요일 오전에 주문해서 토요일에 받을 수 있을 줄 알았는데 화요일에 받았어요 아마도 할인 행사 때문에 주문량이 많아서 그랬나 봐요 바로 사용해봤는데 물 같은 제형이지만 다른 물 토너들보다 보습력이 더 좋은 것 같아요 화장솜에 적셔 닦아내면 수분감이 엄청 좋아서 피부가 촉촉해지네요
19,끈적임이 없어 좋긴 한데 물 같은 점성입니다 자극적이진 않고요  피부에 좋겠지 믿고 사용 중입니다 트러블도 그렇다고 피부가 좋아졌는데 그런 느낌은 없습니다  향은 허브향이 살짝 납니다 케이스는 싸구려 같아요 총평은 가격 대비 추천합니다
20,향이 참 좋아요 콧물 제형 스킨은 아니고 물 느낌인데 완전 물 같은 느낌은 아니고 쪼오오끔 유분기가 있어요 용량도 많아서 듬뿍듬뿍 쓰는데 좋아요 근데 쓰다 보면 스킨 병뚜껑이 자꾸 돌아가서 열리려고 하네요 전체적으로 볼 때 가격 대비 만족해요
21,우선 대용량이라 양은 더할 나위 없이 충분해요 자연 약쑥과 가지 허브 성분이 피부 진정과 밸런스를 맞춰주네요 약산성 토너라 피부가 민감하신 분들도 안심하고 사용하실 수 있을 것 같아요 향이 프레시 하면서도 시원함이 느껴지네요 매일 세안 후에 간단하게 사용해주면 피부관리에 좋을 것 같아요
22,늦지 않게 잘 도착했습니다 포장은 아주 꼼꼼하게 되어 있지 않았지만 뽁뽁이까지 있고 뜯어지거나 새는 것은 없었습니다 착한 가격에 양도 많고 써보니 향도 상큼한 향이고 산뜻하고 깨끗한 느낌이라 맘에 듭니다 유통기한도 넉넉합니다
23,바흐 아하 성분 때문에 자극이 아예 없는 건 아닌데 약하게 좀 느껴져야 그 성분의 효과가 있음을 알게 음향이 싫다는 사람이 있던데 나는 좋음 상큼하고 시원한 쑥 향은 아님 가격 대비 훌륭하다고 생각함 피부가 뒤집어지는 일만 안 생기면 좋겠음 화장품이란 게 처음에는 괜찮다가 뜬금없이 갑자기 안 맞는 경우도 있어서
24,그동안 사용해오던 스킨토너들 보다 향이 진해서 조금 부담스러웠지만 상큼하고 좋은 향이라 사용하다 보면 곧 익숙해질 거로 봅니다 마사지 크림 사용 후 닦아내려고 구매했는데 사용감이 좋고 양도 많고 가격도 저렴해서 부담 없이 사용할 수 있어 좋아요
25,자극도 없고 쑥 냄새가 많이 날까 걱정했는데 쑥 향이 나는지도 모를 정도예요 용기 뜯기 전에는 허브향이 나는 거 같아 좋았는데 막상 뜯어서 써보니 향이 저랑은 안 맞아요 무슨 향이라고 말도 못 하겠고 아무튼 향은 아닙니다 사용감은 좋고 볼 이건 성인데 촉촉해 요새 안 하고 다시 한번 화장솜에 묻다 시 한번 마무리하기에 양도 많아 부담 없고 가 성비짱입니다 향만 좋았으면 제 구매하겠는데 향 때문에 못할 거 같아요 사용감은 좋은데 아쉬워요
26,이때까지 돌려쓰는 토너만 쓰다가 뚜껑 여닫이 토너 너무 편하고 좋고 용기도 뚠뚠하고 디자인도 이쁘고 토너도 넘조아영담에또살거가타여 착한 가격 짱이 얘요 근데 향이 좀 찐해 영 이거 수정 보완해주시면 좋을 거 같은데 이거 레몬향 나서 쨍한 느낌인데 진하기까지 하니깐 화장할 때마다 숨 안 쉬고 해야 해요
27,싸고 양 많아서 닥터로 쓰기에는 좋겠어요 향은 별로예요 쑥 향만 나면 찮은데 손소독제 같은 냄새가 나요 오래가진 않습니다만 쓸 때마다 거북한 건 어쩔 수 없네요 유분기 많은 피부에 좋을듯해요 바르고 나면 뭔가 뽀드득 느낌이랄까 촉촉하길 원한다면 다른 제품으로 커버하시길
28,추석 할인행사에 저렴하게 구입합니다 제가 쓸 건데 선물 받은 느낌이랄까 일단 명절 전에 배송이 돼서 좋고요 쓰던 제품이 남아서 사용은 못 해봤으나 토너형은 상쾌한 레몬이 나라임 계열의 향이네요 쑥 성분이라 어떤 냄새일까 궁금했는데 좋은 것 같아요 피부에도 잘 맞았으면 좋겠네요 많이 파세요
29,쑥 향은 아닌데 상쾌한 향기가 나요 가볍게 쓰기 괜찮고 물 스킨이라 닦아내는 용으로 쓰기 괜찮아 보여요 불편한 점은 구멍이 조금 커서 물 제형이라 콸콸 나온다는 점구멍이 좀 작아도 되겠어요 맨날 화장솜 흠뻑 적셔져서 줄줄 흐르기도 해요 그래도 괜찮아요 저렴하니까
30,배송도 빠르고 상품도 너무 좋아요 만족합니다 용량도 정말 체고네요 게다가 향기가 너무 상쾌해요 그린 티 향기라고 해야 하나요 상쾌한 향기가 정말 기분을 좋게 해요 향기가 트러블을 쏙 들어가게 해줄 것 같아요  솜에 촉촉이 적셔 얼굴에 시원하게 올려놓고 아낌없이 쓰려고 원쁠원으로 세트 네 개 샀습니다 바르면 시원하고요 아침저녁 샤워하고 보디에도 가볍게 바르고 있어요 어쨌든 좋습니다 많이 파세요
31,자연 약쑥 믿고 쓰는 화장품 중 하나입니다 여름에 운동 후 모공이 확장되어 있을 때 냉장고에 넣어 놓은 스킨을 화장솜에 듬뿍듬뿍 묻혀 피부에 올려놓으면 모공도 수축되고 화끈거림도 갈아않아 좋아요 성분과 성분이 들어있어 각질까지 정리해주고 보습력까지 있으니 일거양득 자연 약쑥 정말 좋아요
32,닦는 용도와 피부 정돈 한방이에요 토너 몇 번을 실패하고 리리코스 정착하다 후기 보고 반신반의해서 샀는데 너무 좋아요 닦을 때 너무 뻑뻑하면 피부 아픈데 적당하게 부드러우면서 잘 닦아요 예민피부인데 트러블 없고 냄새 정말 예민한데 상큼한 레몬향 때문에 울렁거리지 않아요 굿 강추 건조와 지성과 예민을 다 가지고 계신 분 믿고 사세요
33,여름이라 피지도 많이 분비되고 그래서인지 피부가 전체적으로 거칠고 가려우면서 뭐가 나서 구매하게 되었어요 상세 설명 보니 기본 베이스가 좋은 데다 대 용량이라 부담 없이 써봅니다 화장기 없는 얼굴인데도 세안하고 닦아내니 화장솜에 닦인 노폐물이 보이네요 피부 결이 조금은 매끄러워진 게 느껴 지구요 자극은 없고 수분감도 좋아요 닦아 내고 한 번 더덜어서 흡수시켜주니 더 촉촉하고 좋아요
34,받자마자 뚜껑 따서 향을 맡어봤더니 은은하니 참 좋네요 그리고 화장솜에 덜어 발라 보았더니 첨이여서 그런 건지는 모르겠지만 첫 바랐을 때는 산뜻함이 있었지만 마른 후에는 산뜻함보다는 바른지 안 바른 지 애매한 느낌을 주더라고요 꾸준히 발라보면 다르겠지 하고 써봐야죠 써보고 좋아지면 다시 구매하러 올게 요수 고하세요
35,좋아요 일단 포장상태가 너무 깨끗해요 뜯어서 써봤더니 허브향이 나면서 기분까지 시원해지는 느낌이네요 더워서 빨개진 피부가 살짝 진정되면서 피부 톤이 밝아진 것 같아요 사이즈가 넉넉해서 냉장고에 넣어 시원한 상태로 뒀다가 수시로 화장솜에 묻혀 얼굴에 붙였다가 닦아내고 해도 부담이 없네요 다른 팩 안 해도 되겠어요 너무 만족입니다
36,구성비 짱 용량의 많아서 그것도 두 개씩이나 너무 좋아요 오늘 받아서 아직 써보지는 않았지만 좋을 것 같아요  저녁에 듬뿍 바를 거예요 요즘 너무 덥고 그래서 아무것도 못 바를 때가 많은데 이 제품은 시원하게 화장솜에 묻혀   얼굴에 올려 팩을 하려 합니다 감사합니다 잘 쓸게요
37,월 일 주문일 발송일 일 배송 완료 주문한 토너들은 뽁뽁이에 잘 싸져서 왔어요 비록 뽁뽁이 포장은 없었지만 사은품 화이트닝 크림 개랑 마스크팩도 잘 받았어요 화이트닝 크림이 옴므라 아쉽네요 같이 일하는 분 쓰시라고 드림 대용량 토너 향이 호불호가 있던데 저는 좋아요 특가에 빠른 배송 만족하고요 요즘 코로나로 마스크 껴서 턱이 엉망이라 상품평 믿고 토너 효과로 깨끗한 얼굴이 되기를 바라며 쓰고 있어요 써보고 좋으면 다 쓰고 또 구매하러 오겠습니다 많이 파세요
38,저번에 구매해서 통다 사용해봤는데   제 피부가 예민해서 별 기대를  안 했지만  너무 좋아요 피부 트러블도 없고 가격도 저렴하고 많은 양을 사용할 수 있어서 너무 좋아 요요 번에 올킬 나와서 두 세트 구매했네요 사은품도 잘 써볼게요
39,향이 살짝 맘에 안 들긴 해요 처음 맡으면 흙냄새가 나서 조금 이상했는데 자꾸 쓰니까 괜찮아요 원래 한 또 무기 쓰다가 조건이 좋아서 샀어요 촉촉하고 잘 스며들어요 동전 마스크 사다 푹 담가서 진정시키기도 좋고 짐승 용량이라 두고두고 씁니다 배송도  어마어마하게  빨라요
40,이 제품 사용한 지 년이 채 안 됐지만 몇 번째 구매하는지 모르겠네요 아주 쟁이는 수준입니다  구성비도 좋고 품질도 순하고 쑥이라서 피부에 좋으니까요 클렌징 사용하고 닦아내는데 많이 사용하는데  쑥 향이 은은하네요 프리에 주에 감사합니다
41,많이 묽을 거라 생각했는데 약간의 글리세린이 들어간 듯 미끈합니다 여름이라 로션까지 바르기 부담스러웠는데 저녁에 스킨하고 잤더니 촉촉하니 좋네요 향기는 신경 쓰일 정도는 아니지만 향기롭지는 않아요 저렴한 가격에 만족스럽고 팍팍 많이 쓰고 피부 좋아질 것 같아요
42,약쑥이랑 그린허브가 들어가서 민감하고 건조한 피부에 쓰기 좋았어요 진정 토너로서의 역할도 좋았고 아하랑 바흐 성분이 있어서 각질관리까지 되다 보니 올인원 역할까지 톡톡히 해주는 데일리 토너고 자극적이지 않아서 좋아요프레쥬 제품들이 다 순해서 가족이랑 같이 쓰기 좋더라고요 용량도 짐승 용량이라 맘에 들어요
43,마침 스킨이 떨어져 가서 구매하려던 차에 저렴하게 구매 잘 했습니다 대용량이라서 듬뿍듬뿍 아끼지 않고 쓸 수 있고 향도 나쁘지 않아요 여기 것은 처음 써 보는 건데 상품 평이 괜찮아 구매했어요 사용감은 좀 더 써봐야 할 것 같아요 써보고 괜찮으면 계속 구매할게요
44,대용량으로 구매 잘 했어요 향은 소소한데 잘 쓸 거 같아요 사용 전이라 별은 네개했구요이벵있는지 모르고 있다가 끝에 보니 있네요 트러블 없이 잘 맞았으면 좋겠네요 원액은 처음 써보는 거라 어떨지 모르겠어요 많이 파세요 제조하신 곳 에바스
45,저렴한 가격에 닦토 원뿔로 득템해서 너무 좋아요 지성 복합성에 뾰루지 심한데 마스크까지 써서 완전 피부 고민이었거든요 근데 쑥 향 닦토 덕에 집에 와서 씻고 닦토로 한 번 더 닦아내면 거품 세안으로도 미세하게 안 지워진 거 다 닦여서 좋아요
46,늘 구매하는 제품입니다 대용량에 원래 가격이 굉장히 저렴한 편이라 구성비 갑인 제품으로 애용하던 건데 최근에 가격이 올라서 좀 아쉬웠는데 세일해서  이 가격에 놓치면 후회할 것 같아 아직 남았지만 미리 구매해뒀습니다 저렴하게 구매해서 특히 기분 좋았습니다 배송도 빠르게 안전하게 잘 와서  좋았습니다 감사합니다
47,향은 나쁘지 않습니다 쑥 향도 섞여있는 것 같고요 저는 몇 번 쓰고 얼굴에 붉은 기가 생기고 가려움도 생겨서 잠시 중단했습니다 정확히 이 토너 때문인지는 모르겠어요 다른 이유일 수도 있으니까 일단 나중에 다시 한번 써봐야 이 토너에 알레르기 반응이 있는지 알 수 있을 것 같아요 반면에 어머니는 잘 사용하고 계세요 대신 어머니는 향이 마음에 안 드신데요
