,0
406,정말 촉촉하고 향도 좋고 팍팍 쓰기 좋아요 피부가 예민한 편은 아니라 잘 맞네요
407,아들이 외부에서 미스트로 사용하려고 대용량을 찾는다고 해서 구매했어요
408,생각보다 엄청 큰 통이네요 향이 강한데 호브들이라서 바르면 괜찮네요 촉촉한 게 만족스럽습니다 추천
409,괜찮아요 배송도 빠르고요 내용물도 알차네요 처음에 쓸 때는 따끔했는데 뭐든지 바꿀 때 저는 그렇더라고요 지금은 향긋한 쑥 향이 싱그럽고 많이 많이 써도 양이 많아 아끼지 않아도 좋더라고요 피부 트러블도 없고요 저한텐 괜찮은 것 같아요
410,짐승 용량 향도 좋고 재구매하고 싶은데 다 쓰려면 몇 달 걸릴 듯
411,저렴한 가격에 잘 구매했네요 닦아내는 용도로 잘 쓰고 있습니다
412,그냥 얼굴 닦아내는 용으로 막 쓰기 좋습니다 보습력은 글쎄요
413,친언니가 사용해서 써보고 구매했어요 향도 좋고 촉촉하고 흡수력도 좋아서  재구매할 거예요
414,잘 받았어요 대용량이고 순해요 두 번째 구매입니다 많이 파세요
415,사용 전이지만 상품평도 좋고 가격도 착해서 구매 배송 빨라요
416,품질이 최상은 아닐 듯하지만 짐승 용량에 향도 좋네요
417,대용량에이라 좋고 시원한 느낌과 향도 맘에 드네요
418,크린 징조일 만드는데 사용합니다 사이지 크고 내용물  만족
419,이것저것 다 냄새가 은은하게 좋고 수분감도 좋아요
420,쑥이라서 쑥쑥 마음껏 쓸 수 있게 구성비가 좋네요
421,시원하고 양 많고 아주 만족해요 향도 은은한 추천
422,저렴하고 좋아요  재구매해서 선물해야겠어요
423,벌써 몇 번째 쓰고 있어 요양이 많아 많이 씁니다
424,좋아서 다시 재구매 한 거니 다 잘 쓸게요
425,구성비 끝판왕 지인이 부탁해서 사드렸는데 닥터로 쓰기에도 그냥 쓰기에도 이 정도면 완전히 만족하신다고 향도 맘에 들고 온 가족 팍팍 쓰기에 이만한 게 없는 것 같다고 담에도 또 부탁하신다네요
426,좀 더 촉촉했으면 좋겠어요 양과 가격은 좋은 것 같아요 어른들보다는 어린 친구들에게 맞을 것 같아요
427,대용량 좋습니다 행사 때 잘 구매했네요 피부 열이 좀 많아서 저한테는 딱 좋네요
428,쑥 향도 좋고 착한 가격대  너무 좋아요
429,토너 양 많고 향도 괜찮습니다
430,좋아서 다시 재구매했어요 가격 대비 좋아요 각질관리도 되고 쑥이라 더 좋은 것 같아요
431,용량이 진짜 크네요 배송 빠르게 잘 도착했습니다 점성이 강하진 않은데 그렇다고 물 토너는 아니에요 촉촉한 것 같아요
432,쑥 향이 시원해 좋아요가 성비 용량도 많고 좋아요
433,연령대   피부 타입 건성 지성 복합성   제품 사용 횟수 또는 기간    제조일자   그 외 도움이 될 만한 사용 후기  더 써봐야 알 것 같지만 입구 용기가 좀 불편하고 구성비 좋고요 어차피 스킨은 클렌징 마지막 단계라 대용량으로 화장솜에 묻혀 닦아내기 좋아요 옥션 안드로이드 앱으로 작성
434,가격 대비 많이 좋아요 향도 좋아요
435,트러블이 있는 피부에 아주 좋아요 마스크로 인해 피부에 트러블이 많이 생기는데 요즘 같은 날에 안성맞춤입니다
436,세안 후 가볍게 닦아내는 용도로 사용하기 괜찮아요  가족 공용으로 쓰기 괜찮아요
437,상품 받고    바로 사용해보았어요  촉촉하고  느낌 좋네요  양이 엄청 많아  스프레이 통에 넣어  수시로    뿌려야겠어요  서비스 앰풀 감사합니다 상품평 보고    구매합니다
438,아직 써보지 않아서 상품평을 쓰기엔 망설여지지만 일단 향은 좋아요 가격도 좋고요
439,배송 빠르고 짐승 용량 거기에 원풀 원까지 너모 감사해 요통 다 비우고 또 주문한 거라요
440,구성비 좋은 토너에요 쑥 향도 과하지 않을 정도 저는 쑥 향 싫어하지 않아요 양이 많아서 부담 없이 화장솜에 듬뿍 묻혀 깨끗하게 닦아요 흡수력은 괜찮은 것 같아요
441,우선 구성비 최고 고요 은은한 쑥 향이 좋아요 바르고 나면 촉촉이 스며들어요 굿
442,가격이 좀 싸다는 생각에 구입했는데 알레르기인 제 피부에도 딱  맞아요
443,좋아요 처음 듣는 브랜드지만 배송도 빠르고 대용량 헤에 클렌징 폼까지 딜이 너무 좋네요 사용 전이지만 항상 토너를 많이 써서 주문했어요 향은 진짜 제품명대로 쑥 향이 나요 막 쓰지도 않고 그냥 얼굴에 바르면 피부가 반드시 좋아질 것 같은 향이 나요 향에 민감하시거나 거부감 드시는 분들도 쑥차 마시는 기분으로 가볍게 쓰시기 괜찮을 것 같아요 다 쓰게 되면 재구매 할게요 좋은 구성 많이 많이 해주세요
444,원 플러스 원이라 별로 기대 안 했나 대 사용감 좋아요 산뜻하고 촉촉해 요
445,딸이 이 제품만 사용 중입니다  다 떨어져가서 바로 주문했어요
446,향은 강하지만 촉촉하고 대용량이라 막 사용하기 좋아요
447,상품명을 보고서 좋다고 해서 주문했고 오늘 도착해서 사용해보니 좋은걸요 같습니다 많이 파세요 감사합니다
448,배송도 빠 누구요 향도 좋고요 가격도 너무 착해서 좋아요 촉촉 흡수도 잘 되네요 잘 쓸게요
449,피지와 노폐물이 제거되네요 피부가 산뜻해졌어요
450,와우 양 진짜 마나요  온몸에 발라도 되것어여
451,연령대   중반 피부 타입 건성 지성 복합성   복합성 제품 사용 횟수 또는 기간    첫 구매 제조일자   최신 그 외 도움이 될 만한 사용 후기 오늘부터 쓸 거예요 제품 용량 만족하고요 향 알레르기가 있는데 쑥 향이니까 괜찮겠죠 가벼운 것치고는 촉촉한 것 같아요 잘 쓸게요 옥션 안드로이드 앱으로 작성
452,가격 대비 너무 좋아요  지인들에게  추적해줘요
453,넉넉히 쓰기 너무 좋아요 촉촉합니다 자극이 없어요
454,큰 용량에 원풀 원이라 팍팍 쓸 수 있어 좋네요
455,구성비도  좋고  생각보다  괴안은 것 같아요
456,일단 향이 너무 좋고요 흡수력 좋습니다
457,구성비 최고네요 만족합니다
458,자주 쓰는 제품 구성비 좋아요
459,번째 재구매입니다 짐승 용량이라서 팍팍 사용하고 있어요 미스트처럼 스킨 팬처럼 도 사용하고 닥터로 피부 정리하는 데  젤 많이 사용해요 휘뚜루마뚜루 잘 쓰고 있어요
460,향이 제가 좋아하는 향이 아니라 그게 좀 아쉬워요 제품은 좋아요 용량도 커서 한참 쓰겠네요
461,대용량   너무 좋아요 시원하게 스킨 팩하기도 딱이네요 촉촉하게 잘 스며드네요 굿
462,로션만 많이 남아서 구매했는데 듬뿍듬뿍 발라도 양은 많네요
463,용량은 많아서 좋아요 다만 향은 좀 제 취향은 아니고 좀 강하네요
464,잘 쓰고 있어 요양이 굿입니다 양이 많아서 오래 쓰겠네요
465,봄철 얼굴 각질 정리하며 닦아내는 토너로 사용하기 좋아요 용량도 대용량이고 각질 피지 정리도 잘 되고요 중간에 다른 토너 사용하다 다시 이 토너로 돌아왔네요  이제 계속 쭉 사용하려고요
466,착한 가격으로 잘 샀어요 정말 좋아요 강추강추 합니다 많이 많이 파세요
467,        
468,딸들과 함께 사용 닥터용으로 구매해요 수년째 로즈워터 아모만 쓰다가 가격이 좋아 구매해봤어요 나쁘지 않네요 쑥을 좋아하는데 그리 좋은 향이라는 느낌은 없어요 강하진 않아요
469,복합성 피부인 고  딸 쓰라고  사줬더니 향이 너무 좋다네요 용량도 넉넉 가격 좋고 너무 만족하는 제품입니다
470,향이 진하지 않고 닦아내 기용으로는 구성비 최고 스프레이 용기에 담아 미스트로 사용해도 좋을 듯
471,구성비 굿 요즘 마스크 때문에 얼굴이 좀 붉어지고 그랬는데 진정 효과 있는 듯 요
472,너무 좋아요 상자를 연 순간 무게감과 용량에 놀랐네요 이 가격에 대용량 토너에  사은품으로 주신 폼클렌징 그것도 정품까지 이 가격에 이 정도로 받아도 되나 싶을 정도네요 토너는 물 같은 제형으로  스킨 하기에 좋고 무엇보다 향이 너무나 좋아요 아로마향으로 기분까지 좋아지네요
473,매번 쓰다 다른 제품으로 갈아탔다 다시 돌아왔어요 토너로 구성비 갑
474,딜로 저렴하게 구매했는데 향도 좋고 양이 많아서 닦도 하기 딱 좋아요
475,이벤트 하고 구매 평동 좋아서 샀는데 향도 좋고 흡수도 빠르고 좋네요
476,배송도 좋고  아이들이 꾸준하게 사용하는 제품입니다 순하고 좋아요
477,아직 써보지 못해서 무엇이라고 말할 수는 없지만 가격은 만족합니다
478,대용량이라 팍팍 써도 줄어들질 않네요 약간 미끄덩한 느낌이 있긴 한데  제품은 처음이라 원래 그런가 하고 쓰고 있어요 확실히 각질은 덜 생기는 거 같아요 이거 쓰고 나서요  연령대   피부 타입 건성 지성 복합성   제품 사용 횟수 또는 기간    제조일자   그 외 도움이 될 만한 사용 후기 옥션 안드로이드 앱으로 작성
479,아직 사용하진 않았지만 상품평이 좋아서 구매합니다 가격이 저렴해서 한동안 잘 사용할 것 같아요
480,배송도 빠르고  풀이라 엄마랑 나눠 가졌어 요양도 많고 좋습니다
481,스킨을 많이 사용하시는 어머니께 구입해드렸는데 만족해하세요
482,용량도 넉넉하고 진정 효과도 있어서 닦토나 스킨팩으로 강추
483,향이 너무 강하네요 저처럼 냄새에 민감하신 분은 비추입니다
484,대용량을 저렴하게 구매해서 좋아요 쑥 향도 은은하네요
485,대용량이라서 사용하기 아주 좋구요쑥항이 정말 좋아요
486,용량이 커서 닥터로 사용하기에 부담 없고 좋네요
487,스킨을 많이 쓰는 편인데 가격보다 양이 많아 좋아요
488,아직 써보지는 않았지만 조으라라 믿고 잘 쓸게요
489,용량도 크고 냉장고에 넣고 편하게 쓰기 좋네요
490,저렴해서 구입했는데 알코올 냄새가 심하게 나네요
491,양 많고 저렴해서 화장솜에 듬뿍 묻혀서 쓰네요
492,상큼한 향이 너무 좋아요 가격 대비 만족입니다
493,흡수력 보습력  없음 그냥 쓰고 있을 모르겠다
494,양도 많고 촉촉해서 좋아요 잘 쓸게요
495,용량 크고 좋아요 세일가 저렴하게 잘 구매
496,구성비 매우 좋아요 통이 너무 커요
497,가격  대비   괜찮아요 용량이 크네요
498,네 제품에 만족해요 값도 저렴하게 구입해서 물건도 좋고 아무튼 고객으로써 만족해요 더 좋은 물건 생산하시길 기원드리며
499,싸게 잘 구입해서 좋습니다 잘 쓰겠습니다
500,약산성 토너라서 바로 구입 약산성만 씁니다 아직 산도 테스트 안 해봤지만 믿고 택배 받자마자 바로 사용했어요 알칼리 제품이라면 피부가 무겁고 산뜻한 거 없었을 텐데 약산성 맞나 봐요 지금은 마스크 시트에 토너 듬뿍 적셔서 팩 중입니다
501,너무 좋아요 잘 쓸게요
502,쓰던 제품인데 제일 저렴하게 판매해서 구매했어요 대용량에 가격도 저렴하고 촉촉해서 좋아요
503,양이  많아서  듬뿍듬뿍  쓸 수 있겠어요  향도  괜찮아요
504,시카 크림 수분 가득 자극적이지 않음 냄새도 자극적이지 않음 거의 향은 없음
505,괜찮아요 순하고 좋은 거 같아요 용량도 많고 좋아요
506,저렴하게 구입했네요 애들 닦토로 쓸 거라 왕창 써도 부담 없어요 남녀 공용 가능하고 향도 독하지 않고 무난합니다
507,배송 정말 빠르고 용량도 많고 저렴해서 좋네요 대신 쑥 향 같은 풀냄새가 많이 나요 강력 그럭저럭 즐길만합니다
508,보습 효과가 아주 좋습니다 적극 추천합니다 동시에  선물을 찾아서 깜짝 놀랐습니다
509,가격 대비 만족입니다 용량이 큽니다
510,대용량에 온몸에 바르고  좋네요 계절 바뀌고 건조한 얼굴에 화장솜에 듦 부어 팩용으로 사용합니다
511,용량 좋고 가격 좋고 오래 쓸 것 같아요
512,아직 써보지는 않았지만 어차피 매일 쓰는 거라 용량도 많고 가격도 저렴하고 해서 구매했습니다
513,스킨 팩하기도 좋고  막 쓰기 딱 좋은 구성비 좋은 제품 두 세트 사려고 했었는데 마침 행사도 해서 상품 잘 받았습니다
514,아직 사용 전인데 양이 많아 막 쓰기 좋고 구성비가 좋아 요배 송도 만족합니다
515,대용량에 만족하고 은은한 쑥 향이 정말 좋아요 유통기한 도 넉넉하니 좋고요
516,촉촉해서 좋네요 진정 효과도 좋아요닦토로 사용하려고 샀어요 만족해요
517,건성에 각질도 잘 생기는 타입이라 함 써보고 맞으면 또 구매하렵니다
518,조카 선물로 사줬는데 좋아하네요 촉촉하고 산뜻하게 쓰고 있다는
519,향이  진하지 않고  일단  양이  많아서  부담 없이  잘 쓰고  있네요
520,새롭게 도전합니다 피부에 쏙 스미면 좋겠어요 쑥쑥 이뻐져 볼까요
521,쑥냄새없음난쑥향이진한게좋은데보습은짱임돠미스트로사용
522,상품평이 좋아서 구입했어요 아직 사용 전인데 기대 중입니다
523,정말 좋아요 완전 강추 대박 득템 가격도 너무 좋고 클렌징 폼 그냥 조그마한 건 줄 알았는데 완전  미리  게다가  주위 사람들한테 정말 사라고 적극 추천하고 있어요 근데 저는 다른 사람들보다 비싸게 주고 샀나 봐요 다들에  원에 사신 듯
524,겨울에 건조해서 얼굴이랑 보디 둘 다 보습이 신경 써요 샀는데 촉촉하고 향도 은은해서 좋아요
525,처음 사본 브랜드 딸아이와 나눠 쓰는 걸로 잘 쓸게요
526,여름에 냉장고에다 넣어두고 막 쓸려고 주문했어요
527,용량이 커서 오래 쓰겠네요 화장품 냉장고에 보관 중
528,저렴하게 잘 샀네 요배 송도 예상 배송 날보다 일찍 왔어요
529,아직 사용 전인데 용량 크고 좋아요 향이 쪼끔 찐한 편
530,항상 쓰던 상품인데 정말 가격 대비  장이네요
531,저렴하니 좋길 바라 보아요 용량 많이 서 좋네요
532,먼저 클렌징 폼 선물 감사드립니다 좋은 제품 저렴하게 판매해 주셔서 감사합니다 그런데 토너는 클렌징 폼처럼 은박 실로 닫혀있지 않고 왜 오픈되어 있나요 새어오지 않은 게 신기합니다만 토너도 그렇게 해 주신다면 참 좋을 텐데요
533,배송 빠르고 구성비 너무 좋네요 만족합니다
534,양이 대박입니다다가 토로 잘 쓰고 있어요
535,용량이 어마어마하네요 게다가 원뿔원이라 오래 사용하니 닥터로 써야겠어요
536,스킨 사용 시 아침저녁으로 회를 바르는데 저렴하게 마구 사용하기 좋습니다
537,생각했던 것보다 좋아요 용량도 크고
538,가격 대비 용량도 많고 촉촉하니 좋아요
539,저렴하게 잘 구매했어요 촉촉한 느낌
540,아직 사용 전이라 사용감은 모르겠어요 저렴하고 요즘 쓰기 좋을 것 같아요
541,늘 쓰던 거예요 구성비 갑이네요
542,늘리매 하는 제품 쟁여두어야 맘이 놓여 또 구매하네요 벌써 몇 통째인지
543,괜춘합니다향이 좋아요
544,세안 후 화장솜에 묻혀 사용할 때 피부 결 정돈과  차 수분 급 충전이 되어 촉촉하게 해주는 프레쥬 자연 쑥 진정 토너 구매 만족합니다
545,휘뚜루마뚜루 쓰기 좋은 거 같아서 구입했어요
546,향이 알코올 향도 진하지만 허브향도 진하네요 기존 쓰던 것보다는 촉촉함이 덜하긴 하지만 저렴히 잘 샀어요
547,저렴하게 각질관리까지 되는 제품 잘 구매했습니다 토너를 엄청 많이 쓰는데 잘 구입했습니다
548,늘 쓰는 제품이라 믿고 삽니다 스킨에 오일을 섞어 미스트를 만들어 수시로 뿌려요 너무 좋아요 또 살게요
549,아직 사용 전입니다 스킨을 많이 사용하는지라 처음으로 한번 구매해보네요 가격이 너무 저렴하여 좀 의아스럽지만 만족하면 단골 하겠습니다
550,상품도 만족하고 배송도 만족합니다
551,믿고 쓰는 에바스 화장품입니다 지금까지 크림 샴푸 등 많은 제품들을 써봤지만 모두 만족스러워서 너무 좋았습니다
552,만족합니다 가격 용량 모두 우선 가격이 너무 착해요 용량 최고 사은품 폼클렌징도 감사합니다 용량 최고예요 오자마자 사용 중인데 용량이 크니까 여유 있고요 첨에 썼을 때 쏴한 느낌이 있었는데 괜찮은 거 같아요 구매 만족입니다
553,부담 없이 사용하기 좋아요 요량이 많아서 부담 없이 사용하기 좋습니다
554,용기가 크고 무거워서요 펌프식이나 길고 한 손에 잡히는 둘레로 조정이 되었으면 해요
555,두 번째 구매 세안하고 화장솜에 듬뿍 묻혀서 닦아주는데 피부가 더 매끈해진 느낌
556,떨어질 때마다 쟁여놓고 쓰는 아이템이에요 화장 지울 때마다 세안 후 사용하는데 자극도 없고 촉촉하니 좋아요 다 쓰면 또 구매할 거예요
557,화장솜에 적셔 피부를 닦아내면 쿨링감 있으면서 수분감 촉촉하고 향도 좋습니다
558,양도 진짜 많고 냄새는 별로지만 별로 자극적이지도 않고 나름 촉촉하네 요원 폴이라서 딸 하나 나 하나 해서 부담 없이 쓰기 좋아요
559,최애 토너예요 늘 재구매하고 주변 분들도 사용해보시고 다들 좋아하세요 최고
560,좋아요 가격도 저렴하고 품질도 좋아요 마음에 들어요
561,사용하고 있는데 괜찮은 거 같아요 주관적인 의견으로 향은 좋으나 좀 강한 편
562,따로 각질제거 안 해도 됨 요즘 닦아 쓰는 각질 패드 많이 나오던데 너무 비싸서 차라리 각질 제거 기능이 있는 토너를 삼  진짜 필링젤 따로 안 써도 될 만큼 피부가 매끈매끈함  좁쌀 역듦처럼 올라오던 것도 몇 달 동안 안 없어지더니 이거 쓰고 많이 가라앉음   다 쓰면 또 살 거임
563,그냥 대용량으로 편하게 헤프게 써도 좋아서 구매했어요 딱 가격만큼 요
564,저렴하고 대용량이라서 보습도 괜찮은 것 같은데 배송이 오래 걸리네요
565,가격 변동이 크네요 향은 좀 인공적인데 괜찮은 거 같아요
566,수분크림 써보고 좋아서 토너도 사용해보려고 구매했어요
567,촉촉하고 향도 좋아요 일단 대용량이라 넉넉해서 좋음
568,향도 은은하니 좋아요 양도 많고요  오래도록 쓰겠어요
569,향도 좋고 쑥 향이 은은해요 얼굴에도 산뜻한 것 같아요
570,용량이 생각보다 커서 아끼지 말고 팍팍 써야겠어요
571,깔끙한 느낌  산뜻함 청량함  피부가 엄청 좋아함
572,쑥 향기 나 고 세정 토너로 사용하고 있어요 순해요
573,무난히 괜찮네 요양 정말 많아서 팍팍 쓰게 돼요
574,저렴하고 용량이 넉넉해 충분히 바를 수 있어요
575,향도 괜찮고 양도 엄청나네요 잘 쓰겠습니다
576,물 같아요 몸에 바르려고 사서 그냥 만족합니다
577,여드름 피부 딸아이와 같이 쓸려고 구입했어요
578,고등학생 딸이 쓰기엔 건조하지 않고 너무 좋아요
579,사용 전 향도 좋고 양도 많아서 막 쓰기 좋을 듯
580,일전에 사용해보고 좋아서 재구매했습니다
581,쑥 향이 좋고 얼굴에 닿는 느낌이 상쾌해요
582,가격 대비 양은 많아서 향도 진하진 않아요
583,착한 가격에 용량이 너무 커서 좋아요
584,항상 쓰는 제품입니다 저렴하고 향도 좋아요
585,향도 좋고 피부에 부담이 없어서 좋아요
586,용량도 많고 트러블이 많이 줄었어요
587,싸게 샀는데 사용감도  나쁘지 않아요
588,재구매입니다 저렴하고 양이 많아요
589,착한 가격에 용량이 커서 좋아요
590,용량 커서  좋아요 향도 만족합니다
591,저렴하게 잘 샀습니다 잘 쓸게요
592,만족합니다 잘 쓸게요
593,양이 많아 좋아요 향도 좋네요
594,양도 많고 품질도 괜찮아요 쑥 향이 참 좋아요 그래서 지인 것도 더 구매했어요
595,잘 받았습니다 잘 받았습니다 잘 받았습니다 잘 받았습니다 잘 받았습니다 잘 받았습니다
596,양이 엄청나네요 잘 쓸게요
597,용량 크고 가격 괜찮네요
598,넉넉한 용량에 향도 좋아요 꾸준히 사용하면 피부에 좋아지겠죠
599,가격 대비 구성비 갑입니다 굳이 비싼 가격의 제품  사용하지 않아도 될 만큼 만족합니다
600,유통기한까지 아주 넉넉하고 향이 은은하고 좋습니다 포장 깔끔하고 안전하게 잘 배송되었습니다 좋은 상품 저렴하게 잘 구매하였습니다
601,준 딸이 사용하는 데 좋다네요 좀 더 사용해봐야 할 듯
602,토너용으론 제일 좋아요 대용량이라 마구마구 써도 부담없구요쑥향은 그다지 진정용으론 짱
603,빠른 배송 감사히 잘 받았습니다 복합성 지성피부라 산틋하고 깔끔한 토너를 원했는데 딱 좋은듯합니다 사용하고 재구매할게요 사업번창하시고 대박 나세요
604,최애 상품 중 하나랍니다 닦도에 딱인 상품
605,대 후반 복합성 랑 가같이 들어간 제품이라고 해서 구입 복합성이긴 한데 코나 이마는 지성이라 닦아내는 용도의 스킨이 필요했던 터 에에 비슷한 제품이 나오는 게 이게 가격이 좋아 속는 셈 치고 구입했신다 향은 무난하고 유통기간 좋고 따끔 화끈 안 해서 일단 쓸만해요 옥션 안드로이드 앱으로 작성
606,무난하네요 퍼스트 스킨으로도 사용하고 샤워 후 팔 다리에 로션처럼 그냥 바르기도 하고 대용량이라 부담 없이 맘껏 쓸 수 있어서 좋아요
607,착한 가격 빠른 배송 제품 만족 약쑥 냄새나서 좋고 부담 없이 사용할 수 있겠네요 재구매 의사 있어요
608,용량이 크고 제품도 좋아서 재구매 했습니다 스킨으로 팩 자주 하는데 부담 없이 팍팍 쓰고 있어요 
609,용량은 같은데 병 길이가 짧아지고 몸이 통통해진 건가요 여하튼 단골 주문하는 스킨 부담 없는 가격에  용량 크고 순해서  스킨 팩하기도 좋습니다
610,쑥 토너라 산뜻한 거 같아요 피지가 많은 분들이 사용하시면 좋을듯해요 신랑이 좋아하네요
611,트레킹하고  와서 사용했는데 냉장고에 넣어놓고 사용하면 진정 효과가 더 좋을듯하네요 정말 괜찮은 화장수입니다
612,늘 사용하는 제품이에요 대용량에 순해서 너무 좋아요 이번엔 정말 저렴하게 잘 샀어요
613,쑥 향이라 해서 괜찮겠지 했는데 쑥 향이 아닌 듯 양이 좀 별로네요
614,첨 사용입니다 쑥 향냄새가 찐하네요 약간 거부감도 발라보니 괜찮이 듯해요 좀 더 사용해보고 또 구입해야겠죠
615,전에 사용하고 다시 재구매인데 저렴하고 사용하기 무난해서 좋아요
616,저렴한데 대용량이라 구입 닦아내는 토너로 여유 있게 사용하렵니다
617,재구매합니다 이 용량에 이 가격에 심지어 자극 없이 순해요 최고
618,어제 자기 전 발랐는데 이것만 발랐는데도 아침까지 촉촉하네요
619,대용량이라서 좋고요 토너 나오는 구멍이 좀 커서 조심히 해야겠어요
620,아들이 항상 잘 쓰고 있습니다 통다 쓰고 또 주문했네요 팩 거즈 이용해  자기 전에 토너 확실하게 이용하고 자더라고요
621,지성피부인데 이거 쓰면 트러블도 안 나네요 통째 사용 중입니다
622,배송 빠르고  용량  엄청나네요 여드름 있는 딸과 같이 쓰려고요
623,대용량에 토너 걱정은 잊을 수 있겠네요 기대하고 잘 써볼게요
624,용량이 정말 크네요 스킨 많이 쓰는 편이라 오래 쓸 것 같아요
625,가격 대비 만족 닦아내는 용도로 쓰기 좋아요 향도 은은하니 나쁘지 않아요 쑥 향이 전 좋네요
626,상품  잘 받았습니다  너무 구성비 좋아 왠지  미안스럽습니다  감사합니다 사진까지 찍어 후기를 올리는 것은 처음입니다 감사하는 마음으로 후기 올립니다 다른 제품도 써보고 싶은 마음이 듭니다
627,저렴하니 잘 샀어요 향  괜찮네요  부담 없이 쓰기 좋아요
628,싼 가격 대용량 향기도 부담스럽지 않고 득템입니다
629,배송 빠르고 양도 엄청 많아요 받아보고 깜짝 놀라서요
630,빠른 배송 만족합니다가 성비가 매우 좋네요 추천해요
631,잘 받았어요 용량이 커서 오래 두고 잘 사용할게요
632,향이 좋아 재구매했어요 마스크팩도 잘 받았습니다
633,두 번째 구매에 요 할인하길래잽싸게 양 많아요
634,쓰던 거예요 자주 사용합니다 순하고 잘 쓰고 있어요
635,착한 가격에 쑥 향기도 좋아서 번째 구매입니다
636,프레쥬 너무 좋네요 주식 상장했으면 좋겠어요
637,용량이 아주 많네요 오랫동안 잘 쓸 수 있겠어요
638,대 딸아이를 위해 주문했어요 더 예뻐질게요
639,지금 쓰고 있는데 괜찮아서 재구매 했어요
640,잘 받았습니다  향도 좋고 촉촉하네요
641,처음 구매했는데 향도 좋고 괜찮네요 담에도 구매할 것 같아요 감사합니다
642,양이 많아요 저렴하게 구입했네요
643,좋아요 두 번째 구매 사용 중임다
644,잘 닦이고 용량만 아서 너무너무 좋아요 피부가 잘 정돈되는 것 같아요 다음에 또 구매의사 있습니다
645,싼 가격에 쓰던 거라 만족해요
646,토너 사용하려고 구매했는데 각질관리에 좋아요 세 번째 구매입니다
647,촉촉하고 괜찮아요 두 번째 구매해서 사용하고 있어요 대용량이라 가끔 몸에도 사용해요
648,마침 필요한 토너가 행사가로 나와 주문합니다 온 가족 다 같이 쓰기에 만족스러운 용량입니다 싸게 잘 사서 매우 만족합니다
649,상품 만족합니다 빠르고 정확하게 받았고 잘 사용하고 있습니다
650,색이 제 취향은 아니네요 근데 일단 양에서 할 말이 없습니다 
651,재구매해서 써요 화장솜 여러 개로 팩해주는데도 부담 없이 쓰는 토너에요 피부가 뜨겁거나 홍조기가 있을 때 트러블 날 때 너무 좋아요 다 쓰면 또 살 거예요 비싼 토너 필요 없어요
652,구성비 좋고 용량 대용량에 아주 좋네요 향은 그냥 그래요
653,딜로 저렴하게 구매했어요 상품 너무 마음에 들어요
654,화장솜에 듬뿍 적셔서 수시로 닦아내요 용량이 크고 저렴해서 부담 없네요 다 쓴 미스트 통에도 덜어 넣었어요 민감성 피부인데 트러블 없어요
655,대용량에 배송도 빠르고 좋아요 하나는 냉장고에 두고 수시로 쓰고 있어요 구성비 굳 다 쓰면 또 구매할게요
656,사용해보려고 처음 구매한 건데 상품 개봉하니 이런 오염 자국은 뭔가요  심지어 지워지지도 않네요
657,저렴하게 판매되어 구입을 하였습니다 용량이 대 용량이라 한참 사용할 것 같네요 감사히 잘 사용하겠습니다
658,스킨 용량도 많고 세안 후 닦아내면 피부가 광택 나는 것 같아요 이번이 두 번째 구매입니다 쓕이 얼마나 들었는지 잘 모르겠지만 피부에는 확실히 좋은 것 같아요
659,용량 좋네요 효과도 좋기를 바랍니다 쑥 내음이 좋네요
660,다 좋은데 향이 좀 과한 것 같아요 차라리 무향이었으면
661,쑥 성분이라 진정 효과도 있는 것 같아요 좋은 가격에 득템한 것 같아요
662,프레쥬 자연 약쑥 진정 토너 진짜 크네요 아직 사용은 무척 좋을 거라 생각합니다 빠른 배송도 감사하고요 적극적으로 추천합니다
663,약쑥 토너는 처음 사용하는데 자극적이지 않고 흡수도 잘되고 용량도 많아서 좋아요
664,용량도 넉넉하고 가격도 저렴하다 약간 쑥 냄새가 나니 청량감이 느껴진다
665,빨리 왔네요  첫 구매했는데 우선 저렴하고 순한 듯  써봐야 알겠죠 
666,꼼꼼하게 포장돼서 왔어요 미끈거림 하나 없어 닦토로 쓰기 참 좋아요
667,향도 은은한 쑥 냄새에 순하고 좋아요 계속 구매해서 쓸 생각입니다
668,늘 만족하고 믿고 쓰는 제품   몇 번째 구매인지도 모르겠네요
669,아직 써보진 않았지만 배송 빠르고 양 많고 저렴해서 일단 만족요
670,빠른 배송과 더불어 제품도 안전하게 잘 받았습니다 잘 쓸게요
671,첨 써보는 토너  촉촉 피부가 예민한 편이라 더 써봐야 알겠음
672,아직 사용 전이지만 넉넉한 양에 일단 굿 사업 번창하세요
673,자연 약쑥이라 피부에 좋고 용량과 저렴한 가격 대만족입니다
674,아직 써보기 전이지만 좋은 것 같네요 향은 마음에 들어요
675,건성 피부 사워 후 전신에 바르니 살결이 부드럽고 좋아요 
676,연휴 전에 아슬아슬하게 주문했는데 잘 받아서 잘 사용하고 있습니다 향도 상큼하니 좋아요
677,닥터로 쓰려고 구입했어요 요즘 미세먼지가 많아져서요
678,잘 받았습니다 지금 사용 중인데 향도 나쁘지 않고 피부 속까지 쫀쫀해지는 느낌이 드는 게 좋은 거 같아요 잘 사용하겠습니다
679,대용량이라 저렴한데  향이  너무 찐해 좀 거부감이 생겨요 향이 금방 날 아기긴 하네요
680,쓰던 거 다 쓰고 재구매했어요 너무 만족해요
681,배송도 빠르고 양이 많아서 듬뿍 쓰기 좋아요
